user_id,user_name,job,password
1001,ひろえ,1,1001
1004,かおる,2,1004
1005,むね,2,1005
1007,みなみ,2,1007
1010,あみ,1,1010
1012,すず,1,1012
1015,あや,1,1015
1016,かず,2,1016
1018,まーちゃ,1,1018
1019,わっしー,2,1019
1023,りこ,1,1023
1028,かな,1,1028
1030,あやね,1,1030
1031,いなっち,1,1031
1034,りな,2,1034
1036,かめ,2,1036
1037,とも,2,1037
1038,やん,2,1038
1042,れい,1,1042
1045,あーちゃん,1,1045
1049,あっきー,1,1049
1054,そう,1,1054
1055,よしこ,2,1055
1056,まっちゃん,1,1056
1058,はる,1,1058
1060,ふるっち,1,1060
1064,ちあき,1,1064
1066,なか,1,1066
1067,じん,1,1067
1070,ひろ,1,1070
1071,れいこ,1,1071
1073,おーちゃん,1,1073
